participant_id,field_context,age_band,baseline_distress,absorption_z,community_orientation_z
SYN001,small_group_network,30s,6.7,0.12,0.6
SYN002,urban_congregation,20s,2.9,0.06,1.09
SYN003,campus_fellowship,50plus,6.7,0.2,-0.04
SYN004,campus_fellowship,30s,4.8,1.19,0.83
SYN005,urban_congregation,20s,6.3,-0.24,0.68
SYN006,campus_fellowship,30s,6.2,1.33,-0.15
SYN007,urban_congregation,30s,3.8,0.37,-0.37
SYN008,campus_fellowship,50plus,4.2,-0.82,-1.25
SYN009,urban_congregation,30s,5.1,-0.59,0.26
SYN010,small_group_network,40s,3.3,-1.65,-1.18
SYN011,small_group_network,20s,4.1,-0.46,0.25
SYN012,urban_congregation,20s,6.8,1.03,0.5
SYN013,urban_congregation,30s,4.2,0.45,0.84
SYN014,urban_congregation,30s,4.0,0.21,-0.44
SYN015,urban_congregation,30s,6.3,-0.01,-0.32
SYN016,small_group_network,30s,6.1,0.89,0.44
SYN017,urban_congregation,20s,6.1,0.99,0.44
SYN018,urban_congregation,40s,5.1,0.51,-0.64
SYN019,small_group_network,30s,2.6,-0.11,-0.08
SYN020,campus_fellowship,20s,4.5,0.4,-0.33
SYN021,urban_congregation,30s,6.7,1.0,0.22
SYN022,campus_fellowship,40s,6.7,-0.79,0.18
SYN023,small_group_network,50plus,4.8,-1.59,-0.07
SYN024,campus_fellowship,40s,4.4,-0.13,-0.71
SYN025,small_group_network,30s,4.0,-0.8,-1.01
SYN026,campus_fellowship,30s,5.5,1.43,0.64
SYN027,urban_congregation,30s,6.5,1.19,-0.47
SYN028,small_group_network,50plus,6.9,1.26,0.89
SYN029,urban_congregation,40s,5.6,-0.59,-0.07
SYN030,small_group_network,40s,5.8,0.39,0.11
SYN031,urban_congregation,30s,4.6,0.39,-0.2
SYN032,small_group_network,50plus,6.0,-1.2,0.99
SYN033,campus_fellowship,40s,7.4,0.9,0.71
SYN034,small_group_network,40s,3.9,0.4,-1.6
SYN035,urban_congregation,30s,6.2,-0.53,0.64
SYN036,small_group_network,30s,5.7,-0.61,-0.7
