excerpt_id,participant_id,interview_wave,excerpt_text,human_verified_codes,interpretive_memo,synthetic,machine_suggested_codes,suggestion_status
EX001,SYN001,follow_up,"I first noticed warmth across my chest. The situation had not changed, but my attention was no longer trapped by the worry.",embodied_change|attentional_shift,Body sensation and attentional movement are narrated together.,True,attentional_shift|embodied_change|nonlinear_change,candidate_only_not_research_finding
EX002,SYN002,midpoint,The tears came before I could explain anything. I understood them as relief and as being known by God.,embodied_change|relational_presence,Tears acquire meaning through a perceived relationship.,True,embodied_change|emotional_change|narrative_reframing,candidate_only_not_research_finding
EX003,SYN003,follow_up,During prayer I felt loved rather than judged. That changed the story I had been telling about myself.,relational_presence|narrative_reframing,Divine relationship supports a revised self-narrative.,True,narrative_reframing|relational_presence,candidate_only_not_research_finding
EX004,SYN004,midpoint,"The peace was intense that evening, but what made it last was talking about it with people who knew me well.",emotional_change|communal_validation|persistence,Community is described as a mechanism of durability.,True,communal_validation|emotional_change|persistence,candidate_only_not_research_finding
EX005,SYN005,follow_up,"I was grateful the next morning, although the old fear returned later. Recovery felt more like a rhythm than a single cure.",emotional_change|nonlinear_change,The account resists a simple permanent-transformation story.,True,nonlinear_change|emotional_change|persistence,candidate_only_not_research_finding
EX006,SYN006,midpoint,I could choose whether to continue the prayer and I remained able to work. That sense of control mattered to how I understood it.,agency|functioning|interpretive_boundary,"Agency and functioning help describe, not diagnose, the experience.",True,agency|narrative_reframing|persistence,candidate_only_not_research_finding
EX007,SYN007,follow_up,"A scripture phrase became personally vivid. It did not sound audible, but it felt addressed to my exact situation.",attentional_shift|relational_presence|sensory_quality,The participant carefully distinguishes vividness from external sound.,True,attentional_shift|relational_presence,candidate_only_not_research_finding
EX008,SYN008,midpoint,At first I kept the experience private because I was unsure what others would call it. The small group gave me language for it.,ambiguity|communal_validation|narrative_reframing,Shared language organizes an initially ambiguous event.,True,communal_validation|narrative_reframing,candidate_only_not_research_finding
EX009,SYN009,follow_up,"I still had difficult days, but the memory of being accompanied changed how alone the difficulty felt.",relational_presence|persistence|nonlinear_change,"Persistence lies in a changed relation to distress, not its disappearance.",True,nonlinear_change|persistence|relational_presence,candidate_only_not_research_finding
EX010,SYN010,midpoint,The experience became frightening when I could not sleep and felt pushed to act. I sought help from both a clinician and my pastor.,distress_signal|agency|community_care,The synthetic case demonstrates a dual clinical and community response.,True,agency|distress_signal,candidate_only_not_research_finding
EX011,SYN011,follow_up,"Singing with other people made the presence feel stronger than when I prayed alone, though the quiet prayer felt more intimate.",communal_validation|relational_presence|practice_comparison,Different practices shape distinct qualities rather than a single intensity scale.,True,relational_presence|communal_validation,candidate_only_not_research_finding
EX012,SYN012,midpoint,Weeks later I could not reproduce the same warmth. What remained was a more patient way of responding to fear.,embodied_change|persistence|behavioral_integration,A transient sensation is distinguished from longer behavioral integration.,True,persistence|agency|embodied_change,candidate_only_not_research_finding
EX013,SYN013,follow_up,"I first noticed warmth across my chest. The situation had not changed, but my attention was no longer trapped by the worry.",embodied_change|attentional_shift,Body sensation and attentional movement are narrated together.,True,attentional_shift|embodied_change|nonlinear_change,candidate_only_not_research_finding
EX014,SYN014,midpoint,The tears came before I could explain anything. I understood them as relief and as being known by God.,embodied_change|relational_presence,Tears acquire meaning through a perceived relationship.,True,embodied_change|emotional_change|narrative_reframing,candidate_only_not_research_finding
EX015,SYN015,follow_up,During prayer I felt loved rather than judged. That changed the story I had been telling about myself.,relational_presence|narrative_reframing,Divine relationship supports a revised self-narrative.,True,narrative_reframing|relational_presence,candidate_only_not_research_finding
EX016,SYN016,midpoint,"The peace was intense that evening, but what made it last was talking about it with people who knew me well.",emotional_change|communal_validation|persistence,Community is described as a mechanism of durability.,True,communal_validation|emotional_change|persistence,candidate_only_not_research_finding
EX017,SYN017,follow_up,"I was grateful the next morning, although the old fear returned later. Recovery felt more like a rhythm than a single cure.",emotional_change|nonlinear_change,The account resists a simple permanent-transformation story.,True,nonlinear_change|emotional_change|persistence,candidate_only_not_research_finding
EX018,SYN018,midpoint,I could choose whether to continue the prayer and I remained able to work. That sense of control mattered to how I understood it.,agency|functioning|interpretive_boundary,"Agency and functioning help describe, not diagnose, the experience.",True,agency|narrative_reframing|persistence,candidate_only_not_research_finding
EX019,SYN019,follow_up,"A scripture phrase became personally vivid. It did not sound audible, but it felt addressed to my exact situation.",attentional_shift|relational_presence|sensory_quality,The participant carefully distinguishes vividness from external sound.,True,attentional_shift|relational_presence,candidate_only_not_research_finding
EX020,SYN020,midpoint,At first I kept the experience private because I was unsure what others would call it. The small group gave me language for it.,ambiguity|communal_validation|narrative_reframing,Shared language organizes an initially ambiguous event.,True,communal_validation|narrative_reframing,candidate_only_not_research_finding
EX021,SYN021,follow_up,"I still had difficult days, but the memory of being accompanied changed how alone the difficulty felt.",relational_presence|persistence|nonlinear_change,"Persistence lies in a changed relation to distress, not its disappearance.",True,nonlinear_change|persistence|relational_presence,candidate_only_not_research_finding
EX022,SYN022,midpoint,The experience became frightening when I could not sleep and felt pushed to act. I sought help from both a clinician and my pastor.,distress_signal|agency|community_care,The synthetic case demonstrates a dual clinical and community response.,True,agency|distress_signal,candidate_only_not_research_finding
EX023,SYN023,follow_up,"Singing with other people made the presence feel stronger than when I prayed alone, though the quiet prayer felt more intimate.",communal_validation|relational_presence|practice_comparison,Different practices shape distinct qualities rather than a single intensity scale.,True,relational_presence|communal_validation,candidate_only_not_research_finding
EX024,SYN024,midpoint,Weeks later I could not reproduce the same warmth. What remained was a more patient way of responding to fear.,embodied_change|persistence|behavioral_integration,A transient sensation is distinguished from longer behavioral integration.,True,persistence|agency|embodied_change,candidate_only_not_research_finding
EX025,SYN025,follow_up,"I first noticed warmth across my chest. The situation had not changed, but my attention was no longer trapped by the worry.",embodied_change|attentional_shift,Body sensation and attentional movement are narrated together.,True,attentional_shift|embodied_change|nonlinear_change,candidate_only_not_research_finding
EX026,SYN026,midpoint,The tears came before I could explain anything. I understood them as relief and as being known by God.,embodied_change|relational_presence,Tears acquire meaning through a perceived relationship.,True,embodied_change|emotional_change|narrative_reframing,candidate_only_not_research_finding
EX027,SYN027,follow_up,During prayer I felt loved rather than judged. That changed the story I had been telling about myself.,relational_presence|narrative_reframing,Divine relationship supports a revised self-narrative.,True,narrative_reframing|relational_presence,candidate_only_not_research_finding
EX028,SYN028,midpoint,"The peace was intense that evening, but what made it last was talking about it with people who knew me well.",emotional_change|communal_validation|persistence,Community is described as a mechanism of durability.,True,communal_validation|emotional_change|persistence,candidate_only_not_research_finding
EX029,SYN029,follow_up,"I was grateful the next morning, although the old fear returned later. Recovery felt more like a rhythm than a single cure.",emotional_change|nonlinear_change,The account resists a simple permanent-transformation story.,True,nonlinear_change|emotional_change|persistence,candidate_only_not_research_finding
EX030,SYN030,midpoint,I could choose whether to continue the prayer and I remained able to work. That sense of control mattered to how I understood it.,agency|functioning|interpretive_boundary,"Agency and functioning help describe, not diagnose, the experience.",True,agency|narrative_reframing|persistence,candidate_only_not_research_finding
