variable,response_scale,english_item,korean_item,interpretive_note
presence_intensity,0-10,"How strongly did you sense God's presence or grace since the last prompt?","지난 알림 이후 하나님의 임재 또는 은혜를 얼마나 강하게 느꼈습니까?","Participant interpretation; not an external truth judgment"
embodied_warmth,0-10,"How strongly did you feel warmth in your chest or body?","가슴이나 몸에서 따뜻함을 얼마나 강하게 느꼈습니까?","Concrete embodied quality"
tears_minutes,minutes,"About how many minutes did tears continue?","눈물은 대략 몇 분 동안 계속되었습니까?","Duration rather than emotional valence"
peace,0-10,"How peaceful do you feel right now?","지금 얼마나 평안하다고 느낍니까?","Current state"
feeling_loved,0-10,"How strongly do you feel loved or personally known by God right now?","지금 하나님께 사랑받고 개인적으로 알려져 있다고 얼마나 강하게 느낍니까?","Relational quality"
gratitude,0-10,"How grateful do you feel right now?","지금 얼마나 감사한 마음을 느낍니까?","Current state"
worry_relief,0-10,"How much have your worries loosened their hold on your attention?","걱정이 당신의 주의를 붙잡는 힘이 얼마나 약해졌습니까?","Attentional shift; avoids claiming worries disappeared"
narrative_coherence,0-10,"How much does your current experience make sense within the story of your life?","현재의 경험이 당신의 삶의 이야기 안에서 얼마나 이해됩니까?","Meaning and narrative integration"
community_connection,0-10,"How connected do you feel to your faith community or trusted others?","신앙 공동체 또는 신뢰하는 사람들과 얼마나 연결되어 있다고 느낍니까?","Community pathway"
distress,0-10,"How distressed or overwhelmed do you feel right now?","지금 얼마나 괴롭거나 압도된다고 느낍니까?","Safety-relevant state; not diagnosis"
daily_functioning,0-10,"How able are you to carry out the activities you need to do?","해야 할 일상 활동을 얼마나 수행할 수 있습니까?","Functional consequence"
sense_of_control,0-10,"How much choice or control do you feel you have in relation to this experience?","이 경험과 관련하여 얼마나 선택하거나 조절할 수 있다고 느낍니까?","Agency and interpretive boundary"
